Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 19,Gardena,Los Angeles,90248,N,11,,,,,$10M to $50M,Class 3,Consumer Products Retail and Apparel ,"Specialized Freight (except Used Goods) Trucking, Local",Consumer Products
Company 20,Santa Monica,Los Angeles,90401,N,1,,"1,188,210.00",,,$1M to $10M,Class 2,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 21,Downey,Los Angeles,90241,N,13,,"23,907,696.00","36,797,340.00","22,801,914.00",$10M to $50M,Class 3,Consumer Products ,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,Consumer Products
Company 22,Long Beach,Los Angeles,90808,N,101,,"77,111,000.00","58,087,206.00",,over $50M,Class 4,Consumer Products Manufacturing Suppliers Technology ,Office Supplies and Stationery Stores ,Consumer Products
Company 23,Sun Valley,Los Angeles,91352,N,16,,"12,000,000.00","10,500,000.00","11,000,000.00",$10M to $50M,Class 3,Consumer Products Technology ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Consumer Products
Company 24,Commerce,Los Angeles,90040,N,695,,"40,360,379.00","46,136,671.00","56,824,870.00",over $50M,Class 4,Professional Services Transportation ,Bus and Other Motor Vehicle Transit Systems ,Professional Services
Company 25,Los Angeles,Los Angeles,90034,N,1,,"45,000.00","75,000.00","85,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Motion Picture and Video Production ,"Advertising, Entertainment, Media and Sports"
Company 26,Glendale,Los Angeles,91204,N,176,,"24,431,763.00","43,805,198.00","60,530,893.00",over $50M,Class 4,Financial Services Healthcare Transportation ,Custom Computer Programming Services ,Financial Services
Company 27,Torrance,Los Angeles,90749,N,36,,"4,832,167.00","5,627,830.00","7,351,427.00",$1M to $10M,Class 2,Healthcare Petrochemical and Energy Professional Services ,Computer Training ,Healthcare
Company 28,Pomona,Los Angeles,91766,N,12,,"6,562,009.00","3,311,539.00","5,368,506.00",$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers Professional Services ,Institutional Furniture Manufacturing ,Consumer Products
Company 29,Rancho Dominguez,Los Angeles,91746,L,25,,"4,284,670.12","6,618,660.00",,$1M to $10M,Class 2,Automotive Consumer Products Transportation ,General Warehousing and Storage ,Automotive
Company 30,Carson,Los Angeles,90745,I,24,,,,,$1M to $10M,Class 2,Consumer Products Food and Beverage Retail and Apparel ,Printing Broker,Consumer Products
Company 31,Canoga Park,Los Angeles,91303,N,23,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Financial Services Healthcare ",Painting and Wall Covering Contractors,"Advertising, Entertainment, Media and Sports"
Company 32,EL SEGUNDO,Los Angeles,90245,N,4,,"73,996,818.00","85,555,747.00","73,510,116.00",$10M to $50M,Class 3,Financial Services Professional Services Utilities ,Natural Gas Distribution ,Financial Services
Company 33,Culver City,Los Angeles,90232,N,116,,"66,000,000.00","75,726,408.00","98,766,821.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports Automotive Consumer Products ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 34,Commerce,Los Angeles,90040,I,55,,"22,802,926.00","33,648,249.00","45,039,391.00",$10M to $50M,Class 3,Automotive Healthcare Transportation ,"General Freight Trucking, Local",Automotive
Company 35,Los Angeles,Los Angeles,90067,I,4,,"1,230,400.00","1,644,200.00","1,825,000.00",$1M to $10M,Class 2,Automotive Food and Beverage Healthcare ,Administrative Management and General Management Consulting Services,Automotive
Company 36,Los Angeles,Los Angeles,90071,L,2,,,,,up to $1M,Class 1,Automotive ,Other Accounting Services ,Automotive
Company 37,Los Angeles,Los Angeles,90039,N,62,,,,,$10M to $50M,Class 3,Financial Services Food and Beverage Professional Services ,Insurance Agencies and Brokerages ,Financial Services
Company 38,Gardena,Los Angeles,90248,I,1,,"425,000.00",,,up to $1M,Class 1,Petrochemical and Energy ,Sewage Treatment Facilities,Petrochemical and Energy
Company 39,Beverly Hills,Los Angeles,90212,N,7014,Corporate Plus,"550,900,000.00","510,000,000.00","561,000,000.00",over $50M,Class 4,Healthcare Professional Services Utilities ,Food Service Contractors,Healthcare
Company 40,San Dimas,Los Angeles,91773,N,4,,"500,000.00","1,370,924.00","1,450,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Commercial Printing (except Screen and Books) ,"Advertising, Entertainment, Media and Sports"
Company 41,Pico Rivera,Los Angeles,90660,R,24,,"9,440,397.21","7,294,961.65","10,153,310.24",$10M to $50M,Class 3,Automotive Retail and Apparel ,Glass and Glazing Contractors ,Automotive
Company 42,Whittier,Los Angeles,90606,L,5,,"502,385.00","452,253.00","633,140.00",up to $1M,Class 1,Consumer Products Healthcare Professional Services ,Marketing Consulting Services ,Consumer Products
Company 43,Los Angeles,Los Angeles,90047,N,1,,"34,911.00","28,697.00",0,up to $1M,Class 1,Food and Beverage Professional Services ,Janitorial Services ,Food and Beverage
Company 44,Playa Del Rey,Los Angeles,90293,I,1,,"7,499.00","4,345.00",,up to $1M,Class 1,Consumer Products Food and Beverage ,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,Consumer Products
Company 45,Los Angeles,Los Angeles,90064,N,29,,"4,148,715.00","7,102,156.00","12,371,000.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",Television Broadcasting,"Advertising, Entertainment, Media and Sports"
Company 46,Santa Monica,Los Angeles,90404,N,5,,"818,731.00",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Sound Recording Studios,"Advertising, Entertainment, Media and Sports"
Company 47,Torrance,Los Angeles,90503,N,7,,"26,803,433.00","34,989,223.00","17,733,843.00",$10M to $50M,Class 3,Financial Services Professional Services Utilities ,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Financial Services
Company 48,SIGNAL HILL,Los Angeles,90755,N,2,,"156,870.00",,,up to $1M,Class 1,Consumer Products ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Consumer Products
Company 49,Los Angeles,Los Angeles,90056,N,52,,"521,267.00","645,429.00","2,350,000.00",$1M to $10M,Class 2,Healthcare Professional Services Technology ,Other Activities Related to Real Estate ,Healthcare
Company 50,LOS ANGELES,Los Angeles,90038,L,5,,"884,524.00","825,543.00","929,960.35",up to $1M,Class 1,Professional Services ,Structural Steel and Precast Concrete Contractors ,Professional Services
Company 51,Venice,Los Angeles,90291,N,4,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 52,Santa Fe Springs,Los Angeles,90670,R,110,,,,,$10M to $50M,Class 3,Manufacturing Suppliers Transportation Utilities ,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Manufacturing Suppliers
Company 53,RANCHO PALOS VERDES,Los Angeles,90275,N,1,,"765,590.00","565,565.00","794,045.00",up to $1M,Class 1,Food and Beverage Healthcare Manufacturing Suppliers ,Paper (except Newsprint) Mills ,Food and Beverage
Company 54,North Hollywood,Los Angeles,91605,N,14,,"4,432,070.00","3,830,907.00","3,657,479.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services ",Electrical Contractors and Other Wiring Installation Contractors,"Advertising, Entertainment, Media and Sports"
Company 55,BEVERLY HILLS,Los Angeles,90212,N,2,,,,,$1M to $10M,Class 2,,Employment Placement Agencies ,
Company 56,ARCADIA,Los Angeles,91006,I,4,,,,,$1M to $10M,Class 2,Automotive Manufacturing Suppliers ,Precision Turned Product Manufacturing ,Automotive
Company 57,CITY OF INDUSTRY,Los Angeles,91745,R,2,,"98,452.00","101,552.00","26,428.00",up to $1M,Class 1,Consumer Products Professional Services ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Consumer Products
Company 58,Los Angeles,Los Angeles,90008,L,3,,"816,499.00","692,588.00","593,330.00",up to $1M,Class 1,Consumer Products Healthcare Utilities ,Residential Remodelers ,Consumer Products
Company 59,Torrance,Los Angeles,90504,N,1,,"2,779,910.00","3,694,179.00","3,068,777.00",$1M to $10M,Class 2,Manufacturing Suppliers Petrochemical and Energy Transportation ,Metal Service Centers and Other Metal Merchant Wholesalers ,Manufacturing Suppliers
Company 60,Compton,Los Angeles,90220,I,2,,"4,950,580.00","4,950,086.00","5,209,951.00",$1M to $10M,Class 2,Automotive Consumer Products ,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Automotive
Company 61,Long Beach,Los Angeles,90813,L,25,,"4,440,887.52","3,012,394.57",,$1M to $10M,Class 2,Transportation Utilities ,Poured Concrete Foundation and Structure Contractors ,Transportation
Company 62,Los Angeles,Los Angeles,90404,N,5,,"9,711,229.80","6,801,110.00","7,579,035.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ",Outdoor Advertising,"Advertising, Entertainment, Media and Sports"
Company 63,Santa Fe Springs,Los Angeles,90670,R,70,,"7,964,898.00","8,353,958.00","11,576,409.00",$10M to $50M,Class 3,Professional Services ,Flooring Contractors,Professional Services
Company 64,Long Beach ,Los Angeles,90805,N,35,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Automotive Professional Services ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 65,Los Angeles,Los Angeles,90067,N,48,,"10,323,826.30","12,724,772.00",,$10M to $50M,Class 3,Professional Services ,Other Activities Related to Real Estate ,Professional Services
Company 66,Hawthorne,Los Angeles,90250,N,18,,"6,352,508.00","6,740,808.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Other Miscellaneous Durable Goods Merchant Wholesalers ,"Advertising, Entertainment, Media and Sports"
Company 67,LOS ANGELES,Los Angeles,90025,I,1,,"152,601,797.00","179,542,244.43","198,816,336.13",over $50M,Class 4,Consumer Products Manufacturing Suppliers ,Service Establishment Equipment and Supplies Merchant Wholesalers ,Consumer Products
Company 68,LONG BEACH ,Los Angeles,90806,R,4,,"2,418,863.00","2,430,737.00","1,022,543.00",$1M to $10M,Class 2,Professional Services Utilities ,Security Systems Services (except Locksmiths) ,Professional Services
Company 69,Duarte,Los Angeles,91010,N,4,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Technology ,All Other Plastics Product Manufacturing ,Manufacturing Suppliers
Company 70,Los Angeles,Los Angeles,90004,L,1,,,,,up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 71,Santa Fe Springs,Los Angeles,90670,N,89,,"68,498,016.88","90,843,391.02","89,015,140.88",over $50M,Class 4,Consumer Products Food and Beverage Manufacturing Suppliers ,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,Consumer Products
Company 72,Bellflower,Los Angeles,90706,R,248,,"20,672,036.00","21,557,979.00",,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Healthcare Transportation ",Bus and Other Motor Vehicle Transit Systems ,"Advertising, Entertainment, Media and Sports"
Company 73,TORRANCE,Los Angeles,90501,I,24,,"7,000,000.00","7,500,000.00","5,600,000.00",$1M to $10M,Class 2,Manufacturing Suppliers Transportation ,Machine Shops,Manufacturing Suppliers
Company 74,Beverly Hills,Los Angeles,90210,R,1,,"50,000.00","47,000.00","521,892.40",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology Transportation ",Marketing Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 75,WEST COVINA,Los Angeles,91792,I,17,,"17,042,480.00","21,368,686.00","28,898,870.00",$10M to $50M,Class 3,Technology Transportation Utilities ,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Technology
Company 76,Los Angeles,Los Angeles,90067,N,34,,,,,$1M to $10M,Class 2,Professional Services ,Real Estate Investment Fund,Professional Services
Company 77,Westlake Village,Los Angeles,91362,R,156,,"84,115,000.00","160,108,866.00","251,166,450.00",over $50M,Class 4,Petrochemical and Energy ,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,Petrochemical and Energy
Company 78,Santa Monica,Los Angeles,90403,N,1,,"10,001.00",,,up to $1M,Class 1,Professional Services ,Professional and Management Development Training ,Professional Services
Company 79,Long Beach,Los Angeles,90808,R,2,,"485,427.00","4,250,000.00","6,787,103.00",$1M to $10M,Class 2,Financial Services Technology Utilities ,Commercial and Institutional Building Construction ,Financial Services
Company 80,Santa Fe Springs,Los Angeles,90670,N,17,,"3,218,067.00","3,673,884.00","3,984,287.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Food and Beverage Retail and Apparel ",Commercial Screen Printing ,"Advertising, Entertainment, Media and Sports"
Company 81,COMMERCE,Los Angeles,90040,N,21,,"12,671,779.00","11,957,298.98","12,653,570.00",$10M to $50M,Class 3,Professional Services ,Furniture Merchant Wholesalers,Professional Services
Company 82,Valencia,Los Angeles,91355,N,2,,,,,up to $1M,Class 1,Professional Services ,Claims Adjusting ,Professional Services
Company 83,Westlake Village,Los Angeles,91361,I,62,,"35,279,261.00","35,855,507.00","43,000,000.00",over $50M,Class 4,Healthcare Manufacturing Suppliers Technology ,Other Computer Related Services,Healthcare
Company 84,Burbank,Los Angeles,91502,L,50,,"9,814,970.57","8,643,331.60","11,248,394.46",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Healthcare Professional Services ",Painting and Wall Covering Contractors,"Advertising, Entertainment, Media and Sports"
Company 85,Los Angeles,Los Angeles,90011,R,2,,,,,$1M to $10M,Class 2,Food and Beverage ,Wood Container and Pallet Manufacturing,Food and Beverage
Company 86,So. El Monte,Los Angeles,91733,R,3,,,,,$1M to $10M,Class 2,Retail and Apparel ,APPAREL ACCESSORIES & OTHER APPAREL MANUFACTURING,Retail and Apparel
Company 87,Valencia,Los Angeles,91355,L,1,,"7,493,296.67","5,171,760.80","4,608,501.12",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Healthcare ",Commercial and Institutional Building Construction ,"Advertising, Entertainment, Media and Sports"
Company 88,Los Angeles,Los Angeles,90014,I,2,,"327,966.00","222,554.00","212,068.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production ,"Advertising, Entertainment, Media and Sports"
Company 89,Burbank,Los Angeles,91506,I,8,,"3,237,227.00","5,310,220.00","5,809,081.91",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Marketing Research and Public Opinion Polling,"Advertising, Entertainment, Media and Sports"
Company 90,valencia,Los Angeles,91355,R,8,,,,,$1M to $10M,Class 2,Professional Services ,Engineering Services,Professional Services
Company 91,Downey,Los Angeles,90242,R,2,,"551,939.00","538,991.00","353,831.00",up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 92,Diamond Bar,Los Angeles,91765,I,269,,"90,573,008.00","66,510,000.00","102,490,110.00",over $50M,Class 4,Financial Services Healthcare Manufacturing Suppliers ,Software Publishers,Financial Services
Company 93,GLENDORA,Los Angeles,91741,N,3,,"1,007,758.00","1,485,848.00","5,416,079.00",$1M to $10M,Class 2,Consumer Products Professional Services Transportation ,236220 - Commercial and Institutional Building Construction,Consumer Products
Company 94,Los Angeles,Los Angeles,90017,N,56,,"6,593,290.00","12,055,913.00","16,753,881.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Professional Services ",Offices of Lawyers,"Advertising, Entertainment, Media and Sports"
Company 95,La Mirada,Los Angeles,90638,I,54,,"13,027,011.00","17,693,590.00","20,863,985.00",$10M to $50M,Class 3,Healthcare Professional Services Technology ,Custom Computer Programming Services ,Healthcare
Company 96,Wilmington,Los Angeles,90744,L,1,,"61,522,650.00","117,423,216.00","123,707,577.00",over $50M,Class 4,Manufacturing Suppliers ,Metal Service Centers and Other Metal Merchant Wholesalers ,Manufacturing Suppliers
Company 97,Glendale,Los Angeles,91203,R,2,,,,,$1M to $10M,Class 2,Financial Services Healthcare Professional Services ,Offices of Lawyers,Financial Services
Company 98,CERRITOS,Los Angeles,90703,N,45,,,,,$1M to $10M,Class 2,Financial Services Healthcare Retail and Apparel ,Computer and Office Machine Repair and Maintenance,Financial Services
Company 99,SANTA FE SPRINGS,Los Angeles,90670,I,10,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Petrochemical and Energy ,Metal Service Centers and Other Metal Merchant Wholesalers ,Manufacturing Suppliers
Company 100,CERRITOS,Los Angeles,90703,N,130,,"200,911,474.00","198,127,440.00","205,035,986.00",over $50M,Class 4,Healthcare Manufacturing Suppliers Technology ,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,Healthcare
Company 101,ROLLING HILLS ESTATES,Los Angeles,90274,N,3,,,,,up to $1M,Class 1,Food and Beverage Manufacturing Suppliers ,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Food and Beverage
Company 102,POMONA,Los Angeles,91768,R,35,,"18,714,452.00","14,302,093.00","12,179,392.00",$10M to $50M,Class 3,Utilities ,Power and Communication Line and Related Structures Construction ,Utilities
Company 103,TORRANCE,Los Angeles,90503,I,11,,"1,489,755.48","1,177,003.97","3,569,297.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Retail and Apparel ,Other Miscellaneous Durable Goods Merchant Wholesalers ,Consumer Products
Company 104,WHITTIER,Los Angeles,90606,R,43,,"11,394,120.95","10,148,056.00","8,663,745.00",$1M to $10M,Class 2,Automotive ,Motor Vehicle Body Manufacturing ,Automotive
Company 105,TORRANCE,Los Angeles,90502,I,43,,"3,821,428.00","8,401,837.00","13,975,700.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Automotive Consumer Products ",Marketing Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 106,GARDENA,Los Angeles,90248,I,200,,"693,846,134.00","835,582,582.00","909,836,600.00",over $50M,Class 4,Automotive Manufacturing Suppliers ,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,Automotive
Company 107,PARAMOUNT,Los Angeles,90723,R,20,,"8,492,000.00","8,177,400.00","8,057,320.00",$1M to $10M,Class 2,Professional Services Utilities ,Commercial and Institutional Building Construction ,Professional Services
Company 108,Montebello,Los Angeles,90640,L,8,,"4,118,721.71","4,117,664.00","3,873,741.00",$1M to $10M,Class 2,Manufacturing Suppliers ,Commercial and Institutional Building Construction ,Manufacturing Suppliers
Company 109,CITY OF INDUSTRY,Los Angeles,91748,N,22,,"7,090,000.00","8,330,800.00","10,700,000.00",$10M to $50M,Class 3,Consumer Products ,Business to Business Electronic Markets ,Consumer Products
Company 110,Los Angeles,Los Angeles,90010,I,43,,"164,168,122.00","184,205,110.00","245,773,283.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,"Advertising, Entertainment, Media and Sports"
Company 111,Carson,Los Angeles,90746,I,15,,"7,968,072.00","15,187,109.32",,$10M to $50M,Class 3,Automotive Food and Beverage Transportation ,"General Freight Trucking, Local",Automotive
Company 112,CARSON,Los Angeles,90746,N,35,,,,,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Retail and Apparel ",Apparel Accessories and Other Apparel Manufacturing ,"Advertising, Entertainment, Media and Sports"
Company 113,LONG BEACH,Los Angeles,90802,N,66,,30,34,"10,233,753.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Automotive Financial Services ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 114,Covina,Los Angeles,91723,R,19,,"1,978,226.00","1,770,405.00",,$1M to $10M,Class 2,Professional Services ,Landscaping Services,Professional Services
Company 115,Irwindale,Los Angeles,91706,L,45,,"17,861,254.00","20,446,964.00","24,268,330.00",$10M to $50M,Class 3,Professional Services ,"Highway, Street, and Bridge Construction",Professional Services
Company 116,La Mirada,Los Angeles,90638,N,10,,"3,246,416.00","3,395,801.00","4,702,423.00",$1M to $10M,Class 2,Healthcare ,Offices of Physicians (except Mental Health Specialists) ,Healthcare
Company 117,Cerritos,Los Angeles,90703,N,16,,"2,500,000.00","2,350,000.00",,$1M to $10M,Class 2,Automotive Manufacturing Suppliers Transportation ,All Other Miscellaneous Manufacturing,Automotive
Company 118,SIGNAL HILL,Los Angeles,90755,N,9,,,,,$1M to $10M,Class 2,Petrochemical and Energy ,Machine Shops,Petrochemical and Energy
Company 119,Signal Hill ,Los Angeles,90755,N,9,,"2,300,000.00","2,456,291.00","814,167.60",up to $1M,Class 1,Professional Services ,Engineering Services,Professional Services
Company 120,Los Angeles,Los Angeles,90061,I,60,,"6,105,639.00",,,$1M to $10M,Class 2,Manufacturing Suppliers Retail and Apparel ,All Other Miscellaneous Textile Product Mills ,Manufacturing Suppliers
Company 121,Signal Hill,Los Angeles,90755,R,13,,"3,200,000.00","3,100,754.00","4,594,267.00",$1M to $10M,Class 2,Transportation ,All Other Automotive Repair and Maintenance ,Transportation
Company 122,CARSON,Los Angeles,90810,I,15,,,,,$1M to $10M,Class 2,Technology Utilities ,Industrial Machinery and Equipment Merchant Wholesalers ,Technology
Company 123,Santa Fe Springs,Los Angeles,90670,N,3,,"4,863,982.47",,,$1M to $10M,Class 2,Consumer Products Food and Beverage Healthcare ,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Consumer Products
Company 124,SAN DIMAS,Los Angeles,91773,I,5,,"2,323,307.00","2,940,494.81",,$1M to $10M,Class 2,Automotive Consumer Products Healthcare ,Electric Lamp Bulb and Part Manufacturing,Automotive
Company 125,Santa Fe Springs,Los Angeles,90670,N,106,,"26,308,638.00","27,321,787.00","32,359,592.00",$10M to $50M,Class 3,Consumer Products Food and Beverage ,Perishable Prepared Food Manufacturing ,Consumer Products
Company 126,El Segundo,Los Angeles,90245,N,422,,"54,889,000.00","80,011,017.00","84,800,000.00",over $50M,Class 4,Technology ,Custom Computer Programming Services ,Technology
Company 127,Torrance,Los Angeles,90502,N,48,,"8,298,223.00","8,044,777.00","7,880,117.00",$1M to $10M,Class 2,Petrochemical and Energy Professional Services ,"All Other Professional, Scientific, and Technical Services.",Petrochemical and Energy
Company 128,Norwalk,Los Angeles,90650,I,13,,"8,021,770.00",,,$1M to $10M,Class 2,Professional Services ,Industrial Building Construction ,Professional Services
Company 129,Long Beach,Los Angeles,90802,N,5,,"1,854,211.26","2,118,810.88","2,150,205.00",$1M to $10M,Class 2,Professional Services Technology ,Custom Computer Programming Services ,Professional Services
Company 130,Redondo Beach,Los Angeles,90277,I,10,,,,,$10M to $50M,Class 3,Consumer Products Retail and Apparel ,Other Metal Container Manufacturing ,Consumer Products
Company 131,Santa Fe Springs,Los Angeles,90670,R,9,,"1,616,941.00",,,$1M to $10M,Class 2,Consumer Products Food and Beverage Manufacturing Suppliers ,Machine Shops,Consumer Products
Company 132,PASADENA,Los Angeles,91103,I,20,,,,,$1M to $10M,Class 2,,Custom Computer Programming Services ,
Company 133,PASADENA,Los Angeles,91101,L,4,,"155,559.00","112,701.00","360,440.00",up to $1M,Class 1,Professional Services ,Books Printing ,Professional Services
Company 134,San Dimas,Los Angeles,91773,R,15,,"2,335,175.75","1,212,981.00","1,760,161.00",$1M to $10M,Class 2,Financial Services ,Industrial Building Construction ,Financial Services
Company 135,Bellflower,Los Angeles,90706,L,15,,"5,505,720.22","4,680,668.87","5,067,719.50",$1M to $10M,Class 2,Professional Services ,Janitorial Services ,Professional Services
Company 136,Marina Del Rey,Los Angeles,90292,N,2,,"2,386,586.00","1,321,253.30","4,993,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Teleproduction and Other Postproduction Services ,"Advertising, Entertainment, Media and Sports"
Company 137,Los Angeles,Los Angeles,90292,I,4,,"2,155,689.00","3,162,355.00","5,392,750.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Automotive Food and Beverage ",Motion Picture and Video Production ,"Advertising, Entertainment, Media and Sports"
Company 138,Encino,Los Angeles,91436,N,2,,,,,$1M to $10M,Class 2,Utilities ,Industrial Building Construction ,Utilities
Company 139,LOS ANGELES,Los Angeles,90036,N,12,,,,,$1M to $10M,Class 2,Automotive Financial Services Retail and Apparel ,Other Services Related to Advertising ,Automotive
